stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
RAVA1,"Ravardière",,47.18381849,-1.66466204,,,0,RAVA,2
RAVA2,"Ravardière",,47.18379560,-1.66532092,,,0,RAVA,2
RAZA1,"Ranzay",,47.25333138,-1.53070103,,,0,RAZA,1
RAZA2,"Ranzay",,47.25316939,-1.53016020,,,0,RAZA,1
RAZA3,"Ranzay",,47.25218993,-1.52982481,,,0,RAZA,1
RAZA4,"Ranzay",,47.25390143,-1.52981631,,,0,RAZA,1
RAZA5,"Ranzay",,47.25267012,-1.52893360,,,0,RAZA,1
RBAL1,"Roche Ballue",,47.17969984,-1.65616350,,,0,RBAL,1
RBAL2,"Roche Ballue",,47.17953387,-1.65575479,,,0,RBAL,1
RBHI1,"René Bouhier",,47.20990103,-1.57131140,,,0,RBHI,2
RBHI2,"René Bouhier",,47.20998193,-1.57158166,,,0,RBHI,2
RBLD1,"Rabillard",,47.19564256,-1.64836691,,,0,RBLD,2
RBNI1,"Robinière",,47.16364228,-1.53558119,,,0,RBNI,2
RBNI2,"Robinière",,47.16470273,-1.53618611,,,0,RBNI,2
RBNI3,"Robinière",,47.16373212,-1.53558769,,,0,RBNI,2
RBRN1,"René Bernier",,47.19386137,-1.49918510,,,0,RBRN,1
RBRN2,"René Bernier",,47.19385698,-1.49931691,,,0,RBRN,1
RCAS1,"René Cassin",,47.26412673,-1.57646669,,,0,RCAS,1
RCAS2,"René Cassin",,47.26423448,-1.57594534,,,0,RCAS,1
RCAS3,"René Cassin",,47.26484515,-1.57387306,,,0,RCAS,1
RCAS4,"René Cassin",,47.26475083,-1.57399847,,,0,RCAS,1
RCAS5,"René Cassin",,47.26411329,-1.57686264,,,0,RCAS,1
RCAS6,"René Cassin",,47.26422105,-1.57634129,,,0,RCAS,1
RCER1,"Rocher",,47.21324277,-1.63949923,,,0,RCER,1
RCER2,"Rocher",,47.21305853,-1.63961773,,,0,RCER,1
RCPE1,"Route de la Chapelle",,47.25485941,-1.57618523,,,0,RCPE,1
RCPE2,"Route de la Chapelle",,47.25449556,-1.57629088,,,0,RCPE,1
RCUU1,"Rochu",,47.21510115,-1.66647291,,,0,RCUU,1
RCUU2,"Rochu",,47.21509657,-1.66660477,,,0,RCUU,1
RDFY1,"Raoul Dufy",,47.22263291,-1.59947632,,,0,RDFY,1
RDFY2,"Raoul Dufy",,47.22271825,-1.59961481,,,0,RDFY,1
RDGO1,"Radigois",,47.19305249,-1.51802149,,,0,RDGO,1
RDIE1,"Rouaudière",,47.29420653,-1.58449495,,,0,RDIE,2
RDIE2,"Rouaudière",,47.29429637,-1.58450155,,,0,RDIE,2
RDMV1,"Rue de Mauves",,47.27161724,-1.43265169,,,0,RDMV,1
RDMV2,"Rue de Mauves",,47.27143322,-1.43277102,,,0,RDMV,1
RDNT1,"Rue de Nantes",,47.15117103,-1.53415157,,,0,RDNT,1
RDNT2,"Rue de Nantes",,47.15134630,-1.53429626,,,0,RDNT,1
REDR1,"Redras",,47.16474964,-1.50251433,,,0,REDR,1
REDR2,"Redras",,47.16458751,-1.50197447,,,0,REDR,1
REFR1,"Réfractaires",,47.30304372,-1.54687868,,,0,REFR,1
REFR2,"Réfractaires",,47.30275197,-1.54751948,,,0,REFR,1
RETA1,"Retas",,47.15485606,-1.53705860,,,0,RETA,1
RETA2,"Retas",,47.15485606,-1.53705860,,,0,RETA,1
REYN1,"Reynière",,47.25612645,-1.57865918,,,0,REYN,1
REYN2,"Reynière",,47.25574916,-1.57916070,,,0,REYN,1
RGNI1,"Reigniers",,47.13722374,-1.46622500,,,0,RGNI,1
RGNI2,"Reigniers",,47.13713824,-1.46608695,,,0,RGNI,1
RIND1,"Rue d'Indre",,47.20419564,-1.66407105,,,0,RIND,1
RIND2,"Rue d'Indre",,47.20401138,-1.66418944,,,0,RIND,1
RLEA1,"Rouleaux",,47.20026822,-1.46621185,,,0,RLEA,1
RLEA2,"Rouleaux",,47.20009287,-1.46606724,,,0,RLEA,1
RLON1,"Rennes - Longchamp",,47.23865543,-1.57063549,,,0,RLON,1
RLON2,"Rennes - Longchamp",,47.23795902,-1.56992338,,,0,RLON,1
RMAU1,"Roche Maurice",,47.19631886,-1.61828778,,,0,RMAU,2
RMAU2,"Roche Maurice",,47.19622902,-1.61828114,,,0,RMAU,1
RMNE1,"Romanet",,47.21149099,-1.60923120,,,0,RMNE,1
RMNE2,"Romanet",,47.21186391,-1.60886215,,,0,RMNE,1
RMNE3,"Romanet",,47.21223682,-1.60849310,,,0,RMNE,1
RMNE4,"Romanet",,47.21213344,-1.60888203,,,0,RMNE,1
RNAN1,"Renan",,47.21631491,-1.61302404,,,0,RNAN,1
RNAN2,"Renan",,47.21630135,-1.61341962,,,0,RNAN,1
RNDR1,"Renardières",,47.14942266,-1.60162244,,,0,RNDR,2
RNDR2,"Renardières",,47.14914412,-1.60186602,,,0,RNDR,2
RNIE1,"Rinière",,47.12905932,-1.63589246,,,0,RNIE,2
RNIE2,"Rinière",,47.12869086,-1.63612910,,,0,RNIE,2
RNLT1,"Renault",,47.26333453,-1.49543852,,,0,RNLT,2
RNLT2,"Renault",,47.26341561,-1.49570894,,,0,RNLT,1
